W(m),S(m),B(m),E(GPa),f'c(MPa),a0(m),ac(m),?c,?,F(?c),V(?c),"N(?c, ?)",Pmax (N)Avg,KsIC (MPa),CTODC(mm)
0.08,0.2,0.05,35.5,67.5,0.0021,0.0026,0.0325,0.7908,1.0723,1.3950,0.4652,7350.0000,0.6678,0.0013
0.08,0.2,0.05,35.5,67.5,0.0021,0.0028,0.0345,0.7460,1.0697,1.3939,0.5117,7350.0000,0.6859,0.0015
0.08,0.2,0.05,35.5,67.5,0.0021,0.0029,0.0364,0.7060,1.0672,1.3928,0.5496,7350.0000,0.7034,0.0017
0.08,0.2,0.05,35.5,67.5,0.0021,0.0031,0.0384,0.6701,1.0647,1.3918,0.5814,7350.0000,0.7203,0.0019
0.08,0.2,0.05,35.5,67.5,0.0021,0.0032,0.0403,0.6377,1.0623,1.3909,0.6085,7350.0000,0.7366,0.0021
0.08,0.2,0.05,35.5,67.5,0.0021,0.0034,0.0423,0.6083,1.0598,1.3899,0.6320,7350.0000,0.7525,0.0023
0.08,0.2,0.05,35.5,67.5,0.0021,0.0035,0.0442,0.5814,1.0575,1.3891,0.6526,7350.0000,0.7680,0.0025
0.08,0.2,0.05,35.5,67.5,0.0021,0.0037,0.0462,0.5569,1.0552,1.3882,0.6708,7350.0000,0.7830,0.0027
0.08,0.2,0.05,35.5,67.5,0.0021,0.0038,0.0481,0.5343,1.0529,1.3874,0.6871,7350.0000,0.7977,0.0028
0.08,0.2,0.05,35.5,67.5,0.0021,0.0040,0.0501,0.5135,1.0507,1.3867,0.7017,7350.0000,0.8120,0.0030
0.08,0.2,0.05,35.5,67.5,0.0021,0.0042,0.0520,0.4942,1.0485,1.3860,0.7149,7350.0000,0.8259,0.0032
0.08,0.2,0.05,35.5,67.5,0.0021,0.0043,0.0540,0.4764,1.0463,1.3854,0.7269,7350.0000,0.8396,0.0034
0.08,0.2,0.05,35.5,67.5,0.0021,0.0045,0.0559,0.4597,1.0442,1.3848,0.7378,7350.0000,0.8529,0.0035
0.08,0.2,0.05,35.5,67.5,0.0021,0.0046,0.0579,0.4443,1.0422,1.3842,0.7479,7350.0000,0.8659,0.0037
0.08,0.2,0.05,35.5,67.5,0.0021,0.0048,0.0598,0.4298,1.0402,1.3837,0.7571,7350.0000,0.8787,0.0039
0.08,0.2,0.05,35.5,67.5,0.0021,0.0049,0.0618,0.4162,1.0382,1.3832,0.7657,7350.0000,0.8912,0.0041
0.08,0.2,0.05,35.5,67.5,0.0021,0.0051,0.0637,0.4035,1.0363,1.3828,0.7736,7350.0000,0.9035,0.0042
0.08,0.2,0.05,35.5,67.5,0.0021,0.0053,0.0657,0.3915,1.0344,1.3824,0.7809,7350.0000,0.9155,0.0044
0.08,0.2,0.05,35.5,67.5,0.0021,0.0054,0.0676,0.3802,1.0325,1.3821,0.7878,7350.0000,0.9274,0.0046
0.08,0.2,0.05,35.5,67.5,0.0021,0.0056,0.0696,0.3695,1.0307,1.3818,0.7942,7350.0000,0.9390,0.0047
0.08,0.2,0.05,35.5,67.5,0.0021,0.0057,0.0715,0.3594,1.0289,1.3816,0.8002,7350.0000,0.9504,0.0049
0.08,0.2,0.05,35.5,67.5,0.0021,0.0059,0.0735,0.3499,1.0272,1.3814,0.8058,7350.0000,0.9617,0.0051
0.08,0.2,0.05,35.5,67.5,0.0021,0.0060,0.0754,0.3408,1.0255,1.3812,0.8111,7350.0000,0.9728,0.0052
0.08,0.2,0.05,35.5,67.5,0.0021,0.0062,0.0774,0.3323,1.0238,1.3812,0.8161,7350.0000,0.9837,0.0054
0.08,0.2,0.05,35.5,67.5,0.0021,0.0063,0.0793,0.3241,1.0222,1.3811,0.8208,7350.0000,0.9944,0.0056
0.16,0.4,0.05,35.5,67.5,0.0041,0.0049,0.0306,0.8392,1.0749,1.3961,0.4087,7350.0000,0.4595,0.0011
0.16,0.4,0.05,35.5,67.5,0.0041,0.0054,0.0338,0.7599,1.0706,1.3943,0.4977,7350.0000,0.4809,0.0015
0.16,0.4,0.05,35.5,67.5,0.0041,0.0059,0.0370,0.6944,1.0664,1.3925,0.5602,7350.0000,0.5011,0.0018
0.16,0.4,0.05,35.5,67.5,0.0041,0.0064,0.0402,0.6392,1.0624,1.3909,0.6073,7350.0000,0.5203,0.0021
